plotid,site,xc,yc,elev_m,crs_epsg,subplot,nsnags_r25m
BR210A,cda,539187.09,5283339.53,1545.87,26911,n,3
BR210B,cda,535964.489,5285276.61,1294.602,26911,n,14
BR211A,cda,540104.733,5310503.08,1015.429,26911,y,0
BR211G,cda,537816.097,5307220.94,1273.278,26911,y,7
BR211I,cda,536721.521,5285115.3,1337.338,26911,y,4
BR211X,cda,531267.889,5292394.98,1174.339,26911,y,11
BR211Y,cda,530302.518,5287553.42,1300.165,26911,y,2
BR211Z,cda,538834.388,5282227.94,1459.006,26911,n,11
BR212A,cda,534777.464,5285424.43,1258.183,26911,y,10
BR212B,cda,525930.329,5297364.46,808.73,26911,y,10
BR212C,cda,531845.77,5281330.88,828.955,26911,y,2
BR212I,cda,530830.122,5293592.22,1121.057,26911,y,1
BR212X,cda,535504.941,5282468.06,1351.471,26911,y,9
BR21X2,cda,535909.748,5282762.64,1368.933,26911,n,23
BR21X4,cda,530090.376,5292112.89,1151.969,26911,n,6
BR21X5,cda,530795.35,5288193.65,1330.357,26911,n,11
BR21X6,cda,533687.833,5286389.4,1362.097,26911,y,4
BR220O,cda,539901.463,5294753.4,1016.532,26911,y,4
BR220P,cda,531201.154,5295104.45,1167.378,26911,n,5
BR220Q,cda,533495.521,5297855.12,1152.717,26911,y,3
BR221A,cda,532221.324,5306865.75,904.861,26911,y,3
BR221E,cda,530352.677,5291176.2,1149.614,26911,y,4
BR221H,cda,547778.958,5283325.68,902.06,26911,y,0
BR221J,cda,530507.332,5295468.97,1186.948,26911,y,0
BR221X,cda,525707.231,5301031.35,1014.333,26911,y,2
BR222A,cda,553646.874,5276084.8,675.604,26911,n,3
BR222B,cda,537045.252,5292589.86,935.131,26911,y,3
BR222X,cda,540022.413,5289489.46,869.595,26911,y,7
BR222Y,cda,535964.076,5299645.51,1020.211,26911,y,0
BR22X2,cda,533466.068,5281641.07,926.691,26911,y,5
BR22X4,cda,539066.775,5284194.54,1262.989,26911,n,9
BR22XA,cda,550833.826,5279295.61,1254.946,26911,y,4
HS210B,stj,569981.065,5221037.91,1454.061,26911,n,4
HS211B,stj,576041.524,5222787.1,1668.683,26911,y,0
HS211C,stj,571257.935,5220111.84,1542.158,26911,y,2
HS212D,stj,569961.597,5221415.01,1438.338,26911,y,0
HS21X1,stj,570854.994,5220012.43,1356.806,26911,n,3
HS220C,stj,570300.165,5222171.46,1498.651,26911,n,3
HS220G,stj,572698.123,5219615.95,1336.052,26911,n,4
HS220H,stj,572270.101,5219369.87,1303.941,26911,n,3
HS220I,stj,571914.257,5219093.35,1336.504,26911,n,10
HS221A,stj,568507.308,5220664.47,1140.982,26911,y,10
HS221B,stj,567976.103,5222740.62,1041.56,26911,y,0
HS221F,stj,568539.897,5221689.37,1154.803,26911,y,12
HS222A,stj,569679.951,5221176.62,1382.037,26911,y,8
HS222C,stj,571061.048,5220211.4,1444.155,26911,n,5
HS222D,stj,569974.406,5222333.76,1449.358,26911,y,3
HS222F,stj,570034.593,5219716.6,1184.778,26911,n,6
HS222G,stj,570589.968,5220617.67,1439.082,26911,y,3
HS222I,stj,569223.69,5220900.2,1272.927,26911,n,3
HS22X5,stj,567801.608,5221803.8,1079.181,26911,n,3
HS22X6,stj,568650.27,5221306.09,1170.581,26911,n,1
HS22X7,stj,570922.253,5219354.71,1287.985,26911,n,7