,gapht_m,site,fp_m2,diffmu_propcga
1,2,CdA,16m2,0.20706
2,2,CdA,36m2,0.18984
3,2,CdA,64m2,0.16922
4,2,StJ,16m2,0.04688
5,2,StJ,36m2,0.04136
6,2,StJ,64m2,0.02356
7,4,CdA,16m2,0.26078
8,4,CdA,36m2,0.23415
9,4,CdA,64m2,0.20227
10,4,StJ,16m2,0.05668
11,4,StJ,36m2,0.05034
12,4,StJ,64m2,0.02941
13,6,CdA,16m2,0.29172
14,6,CdA,36m2,0.26092
15,6,CdA,64m2,0.22438
16,6,StJ,16m2,0.07042
17,6,StJ,36m2,0.06163
18,6,StJ,64m2,0.03692
19,8,CdA,16m2,0.30758
20,8,CdA,36m2,0.27467
21,8,CdA,64m2,0.23486
22,8,StJ,16m2,0.08741
23,8,StJ,36m2,0.07128
24,8,StJ,64m2,0.04425
25,10,CdA,16m2,0.32339
26,10,CdA,36m2,0.28751
27,10,CdA,64m2,0.24444
28,10,StJ,16m2,0.10105
29,10,StJ,36m2,0.07916
30,10,StJ,64m2,0.04891
31,12,CdA,16m2,0.34073
32,12,CdA,36m2,0.30294
33,12,CdA,64m2,0.25182
34,12,StJ,16m2,0.11382
35,12,StJ,36m2,0.08416
36,12,StJ,64m2,0.05028
37,14,CdA,16m2,0.35588
38,14,CdA,36m2,0.31528
39,14,CdA,64m2,0.25771
40,14,StJ,16m2,0.1308
41,14,StJ,36m2,0.09209
42,14,StJ,64m2,0.05526
43,16,CdA,16m2,0.36764
44,16,CdA,36m2,0.32123
45,16,CdA,64m2,0.25839
46,16,StJ,16m2,0.15546
47,16,StJ,36m2,0.11292
48,16,StJ,64m2,0.06234
49,18,CdA,16m2,0.37995
50,18,CdA,36m2,0.32735
51,18,CdA,64m2,0.25615
52,18,StJ,16m2,0.18658
53,18,StJ,36m2,0.12789
54,18,StJ,64m2,0.06612
55,20,CdA,16m2,0.39346
56,20,CdA,36m2,0.32958
57,20,CdA,64m2,0.25058
58,20,StJ,16m2,0.21934
59,20,StJ,36m2,0.14472
60,20,StJ,64m2,0.07845
61,22,CdA,16m2,0.41208
62,22,CdA,36m2,0.3329
63,22,CdA,64m2,0.24108
64,22,StJ,16m2,0.24764
65,22,StJ,36m2,0.16365
66,22,StJ,64m2,0.08942
67,24,CdA,16m2,0.42429
68,24,CdA,36m2,0.32338
69,24,CdA,64m2,0.22131
70,24,StJ,16m2,0.26858
71,24,StJ,36m2,0.16734
72,24,StJ,64m2,0.08353
73,26,CdA,16m2,0.42131
74,26,CdA,36m2,0.29697
75,26,CdA,64m2,0.18822
76,26,StJ,16m2,0.27697
77,26,StJ,36m2,0.15356
78,26,StJ,64m2,0.06426
79,28,CdA,16m2,0.38536
80,28,CdA,36m2,0.2465
81,28,CdA,64m2,0.14457
82,28,StJ,16m2,0.2443
83,28,StJ,36m2,0.1207
84,28,StJ,64m2,0.03748
85,30,CdA,16m2,0.3149
86,30,CdA,36m2,0.18418
87,30,CdA,64m2,0.10177
88,30,StJ,16m2,0.19702
89,30,StJ,36m2,0.08622
90,30,StJ,64m2,0.02112
91,32,CdA,16m2,0.2367
92,32,CdA,36m2,0.12732
93,32,CdA,64m2,0.06453
94,32,StJ,16m2,0.14756
95,32,StJ,36m2,0.05651
96,32,StJ,64m2,0.00661
97,34,CdA,16m2,0.16319
98,34,CdA,36m2,0.08244
99,34,CdA,64m2,0.03938
100,34,StJ,16m2,0.14261
101,34,StJ,36m2,0.04809
102,34,StJ,64m2,0.00356
103,36,CdA,16m2,0.09921
104,36,CdA,36m2,0.05282
105,36,CdA,64m2,0.02652
106,36,StJ,16m2,0.09276
107,36,StJ,36m2,0.03041
108,36,StJ,64m2,0.0002
109,38,CdA,16m2,0.05733
110,38,CdA,36m2,0.02909
111,38,CdA,64m2,0.01505
112,38,StJ,16m2,0.04519
113,38,StJ,36m2,0.01744
114,38,StJ,64m2,0.0009
115,40,CdA,16m2,0.02772
116,40,CdA,36m2,0.01412
117,40,CdA,64m2,0.00737
118,40,StJ,16m2,0.02043
119,40,StJ,36m2,0.00739
120,40,StJ,64m2,0.00093
121,42,CdA,16m2,0.01407
122,42,CdA,36m2,0.00792
123,42,CdA,64m2,0.00419
124,42,StJ,16m2,0.00663
125,42,StJ,36m2,0.00267
126,42,StJ,64m2,0.00094
127,44,CdA,16m2,0.00843
128,44,CdA,36m2,0.00479
129,44,CdA,64m2,0.00266
130,44,StJ,16m2,0.00077
131,44,StJ,36m2,0.00073
132,44,StJ,64m2,0.00058
133,46,CdA,16m2,0.00519
134,46,CdA,36m2,0.003
135,46,CdA,64m2,0.00173
136,46,StJ,16m2,0.00213
137,46,StJ,36m2,0.00109
138,46,StJ,64m2,0.00063
139,48,CdA,16m2,0.00282
140,48,CdA,36m2,0.00156
141,48,CdA,64m2,0.00093
142,48,StJ,16m2,0.00038
143,48,StJ,36m2,0.00017
144,48,StJ,64m2,0.0001
145,50,CdA,16m2,0.00154
146,50,CdA,36m2,0.00073
147,50,CdA,64m2,0.00042
148,50,StJ,16m2,0
149,50,StJ,36m2,0
150,50,StJ,64m2,0